id,question,answer
1,Через какую платформу вы работаете?,"Работаю через российскую платформу МТС Линк. Подключиться легко, достаточно перейти по ссылке"
2,Как вы работаете?,"Часть уроков проходят в формате вебинаров, часть индивидуально. На вебинар, где идет разбор теории и заданий, подключаются все ученики курса. После него в отдельный день проходит индивидуальное занятие на закрепление пройденного. Также можно выбрать формат только индивидуальных занятий"
3,Это индивидуальные уроки? Это групповые уроки?,"У меня можно заниматься в любом удобном для вас формате, как индивидуально, так и в группе. После пробного занятия сможете выбрать подходящий для вас вариант"
4,У вас онлайн-школа?,"Нет, у меня индивидуальный подход к каждому ученику. Заниматься можно в разных форматах, о которых рассказываю на пробном уроке)"
5,Занятия ведете вы или кто-то другой?,"Все вебинары веду я. Индивидуальные уроки на закрепление пройденного проводят наставники, которые сдали ЕГЭ на 90+ баллов. Они прошли курс репетиторства и работают по моей методике. Некоторые имею опыт преподавания 3 года. Учатся в топовых вузах страны"
6,Если просят позвонить,"Прошу прощения, сейчас неудобно говорить, предлагаю продолжить общение в чате"
7,Если настойчиво просят позвонить,"Хорошо, напишите свой номер телефона. Я свужусь с вами позже. После этого необходимо направить лид на менеджера"
8,Сколько уроков в неделю?,"2-3 урока в неделю. Столько нужно, чтобы успеть пройти все темы до экзамена. Без этого не сможем решать все задания, каждое из которых относится к конкретной теме"
9,Как оплачивать?,"Оплата по ссылке или qr-коду, за месяц вперед, также можно выбрать дату, когда удобно платить"
10,Можно платить после каждого занятия?,"Оплата за месяц, но вы можете выбрать удобную дату ежемесячного платежа"
11,Как будет проходить подготовка у 10 классов?,"В начале недели буду скидывать запись вебинара. Ребятам необходимо его посмотреть в течение недели в удобное время. Потом выучить конспект и сделать ДЗ. В выходные будет проходить индивидуальное занятие с наставником, на закрепление изученного. Время занятия - по договорённости. Этого вполне достаточно, чтобы в 10 классе готовиться к ЕГЭ"
12,Какое расписание?,После пробного сможем подобрать удобное для вас расписание
13,Не подходит время пробного и сразу спрашивают про время занятий,"Да, думаю время занятий можно поставить в это время. Но для начала нужно найти время для пробного. У меня есть окошки, которые держу именно для него. После пробного уже стараюсь найти вариант времени, удобный для ученика"
14,"У меня нет страницы в ВК\не хочу переходить в ВК\можем перейти в WhatsApp, Телеграм","Извините, у меня вся коммуникация происходит в ВК. Скажите, получиться создать страничку? "
