Предмет,Текст цены
История и обществознание ОГЭ,"Один урок 600 р. Если берете сразу много занятий, то стоимость при самом дорогом варианте подготовки будет 6490 рублей в месяц за 16 уроков от 30 до 55 минут в зависимости от сложности темы и формата урока. Есть варианты подготовки дешевле. Цена сохраняется до конца занятий"
История и обществознание ЕГЭ,"Один урок 700 р. Если берете сразу много занятий, то стоимость при самом дорогом варианте подготовки будет 6990 рублей в месяц за 16 уроков от 30 до 55 минут в зависимости от сложности темы и формата урока. Есть варианты подготовки дешевле. Если берет два предмета, то скидка 10% на оба предмета. Цена сохраняется до конца курса"
История и обществозанание Индивидуальные занятия ОГЭ,"Стоимость 8800 рублей в месяц за 8 уроков по часу. А вообще у меня можно готовиться в разных форматах. Есть вариант подготовки в формате, где часть уроков проходят в формате вебинаров с разбором теории и заданий, часть индивидуально с закреплением пройденного. Так получается даже дешевле – 6490 руб в месяц за 16 уроков по часу"
История и обществозанание Индивидуальные занятия ЕГЭ,"Стоимость 8800 рублей в месяц за 8 уроков по часу. А вообще у меня можно готовиться в разных форматах. Есть вариант подготовки в формате, где часть уроков проходят в формате вебинаров с разбором теории и заданий, часть индивидуально с закреплением пройденного. Так получается даже дешевле – 6990 руб в месяц за 16 уроков по часу"
Математика ОГЭ,"Один урок 700 р. Если берете сразу много занятий, то стоимость при самом дорогом варианте подготовки будет 6990 рублей в месяц за 16 уроков от 30 до 55 минут в зависимости от сложности темы и формата урока. Есть варианты подготовки дешевле."
Математика ЕГЭ,"Один урок 800 р. Если берете сразу много занятий, то стоимость при самом дорогом варианте подготовки будет 6990 рублей в месяц за 12 уроков от 30 до 55 минут в зависимости от сложности темы и формата урока. Есть варианты подготовки дешевле."
Математика ОГЭ ИНД занятия,"Стоимость 8800 рублей в месяц за 8 уроков по часу. А вообще у меня можно готовиться в разных форматах. Есть вариант подготовки в формате, где часть уроков проходят в формате вебинаров с разбором теории и заданий, часть индивидуально с закреплением пройденного. Так получается даже дешевле – 6990 руб в месяц за 12 уроков по часу"
Математика ЕГЭ ИНД занятия,"Стоимость 8800 рублей в месяц за 8 уроков по часу. А вообще у меня можно готовиться в разных форматах. Есть вариант подготовки в формате, где часть уроков проходят в формате вебинаров с разбором теории и заданий, часть индивидуально с закреплением пройденного. Так получается даже дешевле – 6990 руб в месяц за 16 уроков по часу"
Биология ОГЭ,"Один урок 500 р. Если берете сразу много занятий, то стоимость при самом дорогом варианте подготовки будет 6490 рублей в месяц за 12 уроков от 30 до 55 минут в зависимости от сложности темы и формата урока. Есть варианты подготовки дешевле."
Биология ЕГЭ,"Один урок 600 р. Если берете сразу много занятий, то стоимость при самом дорогом варианте подготовки будет 6490 рублей в месяц за 16 уроков от 30 до 55 минут в зависимости от сложности темы и формата урока. Есть варианты подготовки дешевле."
